,Title,Summary
19,3/5 giải tại cuộc thi eprojects thuộc về sinh viên trường đại học bách khoa,"sáng 24/3, ở tổng lãnh sự quán mỹ tại tp.hcm đã diễn ra vòng chung kết cuộc thi dự án đổi mới sáng tạo kỹ thuật eprojects. tại đây, các đội sinh viên đến từ các trường đại học việt nam đã trình bày bảy mô hình khoa học công nghệ mang tính ứng dụng cao."
20,đông nhất từ trước đến nay: 90.000 thí sinh tham gia kỳ thi đánh giá năng lực đhqg-hcm,"sáng ngày 26/3, 90.000 thí sinh tại 47 cụm thi ở 21 tỉnh, thành trên cả nước hồ hởi tham gia kỳ thi đánh giá năng lực do đhqg-hcm tổ chức."
21,trường đh bách khoa triển khai thành công chương trình giáo dục hợp tác “collaborative education program” (cep),"trong khuôn khổ dự án “mạng lưới phát triển giáo dục kỹ thuật các trường đại học đông nam á”, trường đại học bách khoa – đhqg-hcm đã triển khai chương trình giáo dục hợp tác “collaborative education program” (cep) trong giai đoạn 2019 – 2022."
22,góc tin khởi nghiệp đổi mới sáng tạo tháng 3 năm 2022,"góc tin về khởi nghiệp đổi mới sáng tạo tháng 3 xoay quanh cuộc thi bach khoa innovation 2023 với các hoạt động chính gồm khởi động cuộc thi vào ngày 4/3/2023 và  “hội thảo về mô hình kinh doanh, viết thuyết minh dự án” vào ngày 11/3/2023."
23,đoàn công tác của trường đại học bách khoa – đhqg-hcm đến thăm và làm việc cùng các trường đại học và doanh nghiệp tại nhật bản,"từ ngày 8-10/3/2023, đoàn công tác của trường đại học bách khoa – đhqg-hcm do pgs.ts. nguyễn danh thảo – phó hiệu trưởng dẫn đầu đã có chuyến thăm và làm việc với một số trường đại học và doanh nghiệp tại nhật bản."
24,khoa cơ khí ký kết hợp tác với công ty cổ phần tập đoàn dat (dat group),"sáng ngày 8/3/2023, khoa cơ khí trường đại học bách khoa đã tiến hành ký kết hợp tác với công ty cổ phần tập đoàn dat (dat group)."
25,"đại hội đại biểu công đoàn trường đại học bách khoa lần thứ 19, nhiệm kỳ 2023-2028","ngày 6-7/3/2023, công đoàn trường đại học bách khoa – đhqg-hcm long trọng tổ chức đại hội đại biểu công đoàn trường lần 19, nhiệm kỳ 2023-2028."
26,phiên họp hội đồng trường trường đại học bách khoa lần viii,"chiều ngày 3/3/2023, phiên họp hội đồng trường trường đh bách khoa – đhqg-hcm lần viii đã diễn ra tại trường đh bách khoa. bên cạnh việc báo cáo tình hình hoạt động của trường, phiên họp đã thảo luận nhiều nội dung quan trọng liên quan đến công tác hoạt động trong thời gian tới."
27,trường đại học bách khoa chúc mừng ngày quốc tế phụ nữ 8/3,"trường đại học bách khoa chúc cho các bà, các mẹ, các chị em, các nữ viên chức, người lao động và các nữ sinh một ngày 8/3 tràn đầy niềm vui, luôn trẻ đẹp và thành công trong cuộc sống."
28,30 năm thành lập khoa khoa học và kỹ thuật máy tính: hơn nửa tỷ đồng ủng hộ quỹ hoạt động của khoa,"tối 4/3, khoa khoa học và kỹ thuật máy tính đã tổ chức chương trình đêm hội ngộ với chủ đề “anh em về nhà” nhân dịp kỷ niệm 30 năm thành lập khoa (1993-2023). đây là dịp để bày tỏ lòng tri ân đến với các thế hệ thầy, cô giáo của khoa, đồng thời kết nối sinh viên các khóa, cùng tề tựu về ngôi nhà xanh bách khoa."
29,chính thức khởi động cuộc thi bach khoa innovation lần vi năm 2023,"sáng ngày 4/3/2023, trường đại học bách khoa chính thức khởi động cuộc thi khởi nghiệp đổi mới sáng tạo ""bach khoa innovation lần vi năm 2023”."
30,"đoàn công tác trường đại học bách khoa tham gia hội thảo dự án enhance tại đại học warwick, vương quốc anh","ngày 27.02.2023, đoàn công tác trường đại học bách khoa – đhqg – hcm do pgs. ts. lê văn thăng, phó hiệu trưởng dẫn đoàn đã tham gia hội thảo “engineering and science for deeply uncertain times"" do dự án enhance tổ chức tại đại học warwick, vương quốc anh."
31,"ban chấp hành đảng bộ trường đh bách khoa tổ chức “hội nghị sơ kết, đánh giá giữa nhiệm kỳ 2020 – 2025”","sáng ngày 28/2, ban chấp hành đảng bộ trường đh bách khoa đã tổ chức “hội nghị sơ kết, đánh giá giữa nhiệm kỳ 2020 – 2025”."
32,bosch viet nam và những chia sẻ thú vị tại hội thảo “smart manufacturing in industry”,"bosch việt nam phối hợp cùng trường đại học bách khoa tổ chức hội thảo “smart manufacturing in industry” (sản xuất thông minh trong công nghiệp) vào hai ngày 24,25/2/2023."
33,trường đại học bách khoa chúc mừng kỷ niệm 68 năm ngày thầy thuốc việt nam 27/02/2023,"sáng nay 27/02, lãnh đạo nhà trường cùng đại diện lãnh đạo các đơn vị đã đến thăm, chúc mừng các cán bộ, viên chức của trạm y tế nhân dịp kỷ niệm 68 năm ngày thầy thuốc việt nam (27/02/1955 - 27/02/2023)."
34,"hội nghị tổng kết chương trình ""collaborative education program"" (cep) thuộc dự án aun/seed-net","nhằm tổng kết các kết quả đã đạt được cũng như đúc kết kinh nghiệm sau quá trình triển khai để tạo tiền đề cho nhà trường trong việc tự vận hành chương trình ""collaborative education program"" (cep) sau khi dự án kết thúc, vào ngày 24-25/02/2023, trường đại học bách khoa đã phối hợp với văn phòng dự án aun/seed-net tổ chức sự kiện tổng kết chương trình cep."
35,ngày hội tư vấn tuyển sinh 2023: không gian gắn kết trực tiếp các đơn vị giáo dục với phụ huynh & học sinh,"ngày 26/2, tại khuôn viên trường đh bách khoa - đhqg-tp.hcm (268 lý thường kiệt, quận 10), ngày hội tư vấn tuyển sinh - hướng nghiệp 2023 đã diễn ra rất sôi nổi, quy tụ hàng trăm gian hàng tư vấn của các trường đại học cùng đông đảo quý phụ huynh & học sinh đến từ tp.hcm và các tỉnh thành lân cận."
36,trường đại học công nghệ nagaoka và đại diện của 26 doanh nghiệp nhật xúc tiến hợp tác với trường đại học bách khoa,"sáng ngày 24/2, trường đại học công nghệ nagaoka, nhật bản phối hợp cùng trường đại học bách khoa - đhqg tp.hcm tổ chức buổi gặp gỡ, trao đổi thông tin về việc hợp tác giữa các ngành công nghiệp và trường đại học."
37,thông tin tuyển sinh đại học chính quy 2023 trường đại học bách khoa,"năm học 2023-2024, trường đại học bách khoa – đhqg tp.hcm dự kiến tuyển sinh 5150 chỉ tiêu dựa trên 5 phương thức tuyển sinh."
38,50 bộ cloud kit từ renesas được trao tặng cho trường đại học bách khoa,"chiều ngày 16/2, đại diện renesas electronics corporation và renesas design vietnam đã đến thăm và tài trợ 50 bộ cloud kit do tập đoàn này sản xuất nhằm hỗ trợ hoạt động giảng dạy tại trường đại học bách khoa. theo đó, khoa khoa học & kỹ thuật máy tính sẽ nhận 30 bộ và khoa điện - điện tử nhận 20 bộ."
39,khởi nghiệp đổi mới sáng tạo: hệ sinh thái mở cần sự kết nối sâu rộng,đó là nội dung được thảo luận trong diễn đàn khởi nghiệp đổi mới sáng tạo do sở khoa học & công nghệ tỉnh bình định phối hợp cùng trường đại học bách khoa và các đơn vị đồng tổ chức vào chiều ngày 11/2/2022 tại công viên hồ kỳ hòa.
40,"trường đh sun yat-sen, đài loan và trường đh bách khoa, đhqg-hcm ký kết hợp tác","sáng 10/2, trường đh bách khoa đón tiếp phái đoàn trường đh sun yat-sen, đặt nền tảng cho lần đầu hợp tác với ngôi trường kỹ thuật tiên tiến tại đài loan."
